TITLE = "2D Euler MMS Solution"
VARIABLES = "X" "Y" "rho" "u" "v" "P" "Mach"
ZONE T="Iteration 0" I=9 J=9 K=1 DATAPACKING=POINT
0.0555556 0.0555556 -999.9 -999.9 -999.9 -999.9 -999.9
0.166667 0.0555556 -999.9 -999.9 -999.9 -999.9 -999.9
0.277778 0.0555556 -999.9 -999.9 -999.9 -999.9 -999.9
0.388889 0.0555556 -999.9 -999.9 -999.9 -999.9 -999.9
0.5 0.0555556 -999.9 -999.9 -999.9 -999.9 -999.9
0.611111 0.0555556 -999.9 -999.9 -999.9 -999.9 -999.9
0.722222 0.0555556 0.950552 748.793 803.998 126688 2.54348
0.833333 0.0555556 0.909854 733.734 817.4 145514 2.32132
0.944444 0.0555556 0.861175 719.789 831.476 154431 2.19487
0.0555556 0.166667 -999.9 -999.9 -999.9 -999.9 -999.9
0.166667 0.166667 -999.9 -999.9 -999.9 -999.9 -999.9
0.277778 0.166667 -999.9 -999.9 -999.9 -999.9 -999.9
0.388889 0.166667 -999.9 -999.9 -999.9 -999.9 -999.9
0.5 0.166667 -999.9 -999.9 -999.9 -999.9 -999.9
0.611111 0.166667 -999.9 -999.9 -999.9 -999.9 -999.9
0.722222 0.166667 0.956182 751.688 808.76 141867 2.42265
0.833333 0.166667 0.915578 736.67 821.981 161244 2.22293
0.944444 0.166667 0.866917 722.456 835.873 170560 2.10513
0.0555556 0.277778 -999.9 -999.9 -999.9 -999.9 -999.9
0.166667 0.277778 -999.9 -999.9 -999.9 -999.9 -999.9
0.277778 0.277778 -999.9 -999.9 -999.9 -999.9 -999.9
0.388889 0.277778 -999.9 -999.9 -999.9 -999.9 -999.9
0.5 0.277778 -999.9 -999.9 -999.9 -999.9 -999.9
0.611111 0.277778 -999.9 -999.9 -999.9 -999.9 -999.9
0.722222 0.277778 0.963867 755.651 809.087 154101 2.34003
0.833333 0.277778 0.923397 740.679 821.968 173900 2.15483
0.944444 0.277778 0.874783 726.34 835.541 183502 2.04295
0.0555556 0.388889 -999.9 -999.9 -999.9 -999.9 -999.9
0.166667 0.388889 -999.9 -999.9 -999.9 -999.9 -999.9
0.277778 0.388889 -999.9 -999.9 -999.9 -999.9 -999.9
0.388889 0.388889 -999.9 -999.9 -999.9 -999.9 -999.9
0.5 0.388889 -999.9 -999.9 -999.9 -999.9 -999.9
0.611111 0.388889 -999.9 -999.9 -999.9 -999.9 -999.9
0.722222 0.388889 0.973247 760.466 805.505 161796 2.29621
0.833333 0.388889 0.932941 745.561 817.951 181846 2.11867
0.944444 0.388889 0.884397 731.271 831.123 191585 2.0102
0.0555556 0.5 -999.9 -999.9 -999.9 -999.9 -999.9
0.166667 0.5 -999.9 -999.9 -999.9 -999.9 -999.9
0.277778 0.5 -999.9 -999.9 -999.9 -999.9 -999.9
0.388889 0.5 -999.9 -999.9 -999.9 -999.9 -999.9
0.5 0.5 -999.9 -999.9 -999.9 -999.9 -999.9
0.611111 0.5 -999.9 -999.9 -999.9 -999.9 -999.9
0.722222 0.5 0.984034 765.916 798.864 163971 2.29135
0.833333 0.5 0.943916 751.095 810.835 184072 2.1153
0.944444 0.5 0.895461 737.038 823.582 193778 2.00796
0.0555556 0.611111 -999.9 -999.9 -999.9 -999.9 -999.9
0.166667 0.611111 -999.9 -999.9 -999.9 -999.9 -999.9
0.277778 0.611111 -999.9 -999.9 -999.9 -999.9 -999.9
0.388889 0.611111 -999.9 -999.9 -999.9 -999.9 -999.9
0.5 0.611111 -999.9 -999.9 -999.9 -999.9 -999.9
0.611111 0.611111 -999.9 -999.9 -999.9 -999.9 -999.9
0.722222 0.611111 0.995904 771.738 790.257 160399 2.32616
0.833333 0.611111 0.955992 757.015 801.777 180348 2.14566
0.944444 0.611111 0.90764 743.365 814.133 189856 2.03724
0.0555556 0.722222 -999.9 -999.9 -999.9 -999.9 -999.9
0.166667 0.722222 -999.9 -999.9 -999.9 -999.9 -999.9
0.277778 0.722222 -999.9 -999.9 -999.9 -999.9 -999.9
0.388889 0.722222 -999.9 -999.9 -999.9 -999.9 -999.9
0.5 0.722222 -999.9 -999.9 -999.9 -999.9 -999.9
0.611111 0.722222 -999.9 -999.9 -999.9 -999.9 -999.9
0.722222 0.722222 1.00851 777.672 780.845 151617 2.40215
0.833333 0.722222 0.968812 763.056 791.989 171234 2.21087
0.944444 0.722222 0.92057 749.955 804.038 180400 2.09915
0.0555556 0.833333 -999.9 -999.9 -999.9 -999.9 -999.9
0.166667 0.833333 -999.9 -999.9 -999.9 -999.9 -999.9
0.277778 0.833333 -999.9 -999.9 -999.9 -999.9 -999.9
0.388889 0.833333 -999.9 -999.9 -999.9 -999.9 -999.9
0.5 0.833333 -999.9 -999.9 -999.9 -999.9 -999.9
0.611111 0.833333 -999.9 -999.9 -999.9 -999.9 -999.9
0.722222 0.833333 1.02122 783.506 771.198 138507 2.52293
0.833333 0.833333 0.981737 769.006 782.042 157631 2.31334
0.944444 0.833333 0.933615 756.565 793.857 166333 2.19579
0.0555556 0.944444 -999.9 -999.9 -999.9 -999.9 -999.9
0.166667 0.944444 -999.9 -999.9 -999.9 -999.9 -999.9
0.277778 0.944444 -999.9 -999.9 -999.9 -999.9 -999.9
0.388889 0.944444 -999.9 -999.9 -999.9 -999.9 -999.9
0.5 0.944444 -999.9 -999.9 -999.9 -999.9 -999.9
0.611111 0.944444 -999.9 -999.9 -999.9 -999.9 -999.9
0.722222 0.944444 1.01949 788.831 760.929 121559 2.68259
0.833333 0.944444 0.980585 774.436 771.215 139842 2.44601
0.944444 0.944444 0.933339 762.712 782.731 147921 2.32014
